Number of year you have worked in current organization,Highest number of years you have worked in any organization,Experience in year(Teaching),Experience in year(Industry),10th percentage,12th percentage,Graduation percentage,Post  Graduation percentage,Doctoral percentage,Worked on any project(technical or non-technical) ( 0 for no and 1 for yes),How many projects you have completed successfully(technical or non-technical) ,"How many years, you lived outside your house","Participated any group discussion(City, State, National or international level) ( 0 for no and 1 for yes)",Can you became a team leader? ( 0 for no and 1 for yes),How many hours you read books per day.,How many friends you have.,How many members of your family depends on you(financially),Tell us count of phone numbers you have saved in your mobile.,How many states you have travelled in India.,How many countries you have visited.,How many students you have guided.,How many research papers you have published.,How many conferences you have attend.,Can you think feedback is necessary against you. ( 0 for no and 1 for yes),"Numbers of times in day, you think about your family.",How many games you have in your phone.,Your profession( 0 for teaching or 1 for Industry)
7,7,7,0,68.00,80.00,80,80,0,1,2,4,0,1,6,15.00,1,100,4,0,20.00,3,0.00,1,20.00,0,0
1,1,2,0,74.80,88.60,90.05,0,0,1,30,4,0,1,0,10.00,7,110,1,0,500.00,0,0.00,1,20.00,1,0
0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0,100,1,0,0.00,0,0.00,0,0.00,0,0
2,5,8,3,72.00,61.00,73,77,0,1,20,1,0,1,1,4.00,5,1,12,0,43.00,8,2.00,1,5.00,0,0
3,5,16,0,83.00,76.00,73,77,75,1,2,6,1,1,1,100.00,2,250,3,0,100.00,55,0.00,0,100.00,2,0
0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0.00,0,0.00,0,20.00,0,0
9,9,9,2,64.00,67.00,70,0,0,1,11,11,1,1,2,100.00,5,200,21,3,100.00,4,2.00,1,100.00,0,0
12,12,15,3,84.00,77.00,73,70,0,1,1,10,1,1,3,100.00,0,999,25,14,25.00,8,25.00,1,100.00,100,0
5,5,6,0,73.60,75.16,82.36,87.3,0,1,1,5,1,1,6,24.00,3,120,12,0,2.00,13,8.00,1,24.00,0,0
3,0,4,0,54.00,64.00,72,82,0,1,1,0,0,0,3,2.00,3,30,3,0,200.00,1,0.00,0,200.00,1,0
0,0,0,0,68.80,0.00,0,0,0,0,0,3,0,1,4,7.00,0,100,1,0,1.00,0,4.00,1,1.00,0,0
0,0,0,0,60.00,0.00,0,0,0,0,1,2,0,1,2,100.00,0,40,10,1,20.00,0,0.00,0,100.00,6,1
0,0,0,0,83.00,0.00,0,0,0,1,2,3,0,1,5,100.00,0,1000,6,3,45.00,20,0.00,1,0.00,3,1
0,0,0,0,80.00,0.00,0,0,0,0,0,0,1,1,3,200.00,0,500,5,0,100.00,0,0.00,1,20.00,1,1
0,0,0,0,93.00,0.00,0,0,0,1,1,14,0,1,4,100.00,7,200,5,2,20.00,0,3.00,0,6.00,2,1
0,0,0,0,65.00,0.00,0,0,0,1,0,2,0,1,2,1000.00,1,50,4,2,0.00,0,0.00,1,10.00,2,1
0,0,0,0,55.00,0.00,0,0,0,0,0,8,0,0,4,75.00,2,100,2,2,5.00,0,0.00,1,10.00,1,0
0,0,0,0,41.40,59.40,0,0,0,0,0,0,0,0,5,6.00,8,12,10,0,0.00,0,0.00,0,0.00,2,0
0,0,0,0,55.40,0.00,0,0,0,0,0,0,0,0,4,200.00,0,200,4,0,100.00,0,0.00,1,1.00,1,0
0,0,0,0,72.00,0.00,0,0,0,0,0,0,0,0,4,200.00,0,10,2,1,0.00,0,0.00,1,1.00,4,0
0,0,0,0,93.00,0.00,0,0,0,0,0,6,0,0,5,4.00,0,40,5,2,2.00,0,2.00,1,10.00,0,0
0,0,0,0,93.00,0.00,0,0,0,1,3,10,0,1,4,1900.00,7,300,4,2,10.00,0,3.00,0,24.00,1,1
0,0,0,0,81.00,0.00,0,0,0,0,0,1,0,0,5,14.00,0,55,2,2,15.00,0,3.00,0,5.00,3,0
0,0,0,0,91.70,0.00,0,0,0,0,0,5,0,0,0,75.00,1,100,2,2,0.00,0,0.00,0,0.00,1,0
1,0,0,0,0.72,0.63,0,0,0,0,3,1,0,1,3,300.00,1,600,7,1,0.00,0,0.00,0,0.00,1,1
1,0,0,0,66.60,73.00,7.76,0,0,0,0,1,0,1,3,0.00,0,644,6,0,0.00,0,0.00,1,999.00,1,1
1,0,0,0,53.00,68.00,8.14,0,0,0,0,0,0,1,1.5,5000.00,0,1000,12,0,3.00,0,5.00,1,1000.00,2,1
0,0,0,0,77.00,69.41,68,0,0,0,1,1,0,1,1,100.00,12,1,10,0,6.00,0,0.00,1,10.00,0,0
1,0,0,0,49.00,64.60,6.7,0,0,0,0,1,0,1,2,20.00,4,177,3,1,2.00,0,0.00,1,100.00,1,1
1,0,0,0,0.52,0.70,6.14,0,0,0,0,0,0,1,1,5.00,0,100,5,0,1.00,0,0.00,1,10.00,2,1
1,0,0,0,75.60,66.60,61,0,0,0,0,1,0,0,2,10.00,4,198,6,1,1.00,5,1.00,0,2.00,1,1
1,0,0,0,53.00,53.60,7.1,0,0,0,0,0,0,1,1,3.00,4,276,7,0,10.00,0,5.00,1,100.00,1,1
0,0,0,0,80.00,56.00,56,0,0,0,0,0,0,0,2,100.00,4,174,4,1,20.00,0,0.00,1,10.00,1,1
0,0,0,0,68.00,59.58,35.2,0,0,0,0,0,0,0,2,170.00,4,10,4,1,170.00,0,1.00,0,1.00,1,1
1,2,2,0,75.60,71.60,0,0,0,0,0,4,1,1,3,100.00,0,359,4,1,0.00,0,0.00,1,99.00,2,0
0,0,0,0,80.00,80.00,88,0,0,0,0,0,0,1,1.3,150.00,0,117,2,0,4.00,0,0.00,1,10.00,2,0
3,3,0,0,71.00,60.00,0,0,0,0,0,4,0,1,3,6.00,0,100,1,0,2.00,0,2.00,1,100.00,2,1
0,0,0,0,74.80,72.60,0,0,0,0,0,0,0,0,4,2.00,5,50,5,2,3.00,0,2.00,0,4.00,0,1
